Index,Runs,Opponent,Ground,Date,Match,Match No,Total,Four's (4s),Six's(6s),Year
0,12,Srilanka,Dambulla,18-Aug-08,ODI,1,12,18,2,2008
1,37,Srilanka,Dambulla,20-Aug-08,ODI,2,49,22,5,2008
2,25,Srilanka,Colombo(RPS),24-Aug-08,ODI,3,74,25,7,2008
3,54,Srilanka,Colombo(RPS),27-Aug-08,ODI,4,128,55,8,2008
4,31,Srilanka,Colombo(RPS),29-Aug-08,ODI,5,159,64,22,2008
5,2,Srilanka,Colombo(RPS),14-Sep-09,ODI,6,161,58,22,2009
6,16,Pakistan,Centurian,26-Sep-09,ODI,7,177,35,8,2009
7,79,Westindies,Johannesburg,30-Sep-09,ODI,8,256,45,9,2009
8,30,Australia,Vadodara,25-Oct-09,ODI,9,286,83,38,2009
9,10,Australia,Mohali,2-Nov-09,ODI,10,296,24,3,2009
10,27,Srilanka,Rajkot,15-Dec-09,ODI,11,323,38,4,2009
11,54,Srilanka,Nagpur,18-Dec-09,ODI,12,377,42,8,2009
12,107,Srilanka,Kolkata,24-Dec-09,ODI,13,484,46,10,2009
13,9,Srilanka,Mirpur,5-Jan-10,ODI,14,493,30,5,2010
14,91,Bangladesh,Mirpur,7-Jan-10,ODI,15,584,34,8,2010
15,71,Srilanka,Mirpur,19-Jan-10,ODI,16,655,62,24,2010
16,102,Bangladesh,Mirpur,11-Jan-10,ODI,17,757,62,38,2010
17,2,Srilanka,Mirpur,13-Jan-10,ODI,18,759,66,19,2010
18,31,South Africa,Jaipur,21-Feb-10,ODI,19,790,49,21,2010
19,57,South Africa,Ahmedabad,27-Feb-10,ODI,20,847,82,14,2010
20,9,Zimbabwe,Harare,28-Mar-10,ODI,21,847,56,20,2010
